Index,Height,Weight,Age
176,66.81312,104.8265,20
177,66.89411,123.0424,18
178,65.73568,118.8923,17
179,65.98283,121.4939,21
180,66.58396,119.2488,29
181,67.11294,135.0239,8
182,65.87481,116.228,14
183,66.78067,109.1731,14
184,68.73577,124.2237,20
185,66.22666,141.1645,10
186,65.95968,129.1501,32
187,68.58372,127.8693,39
188,66.59347,120.9244,25
189,66.96574,127.6466,35
190,68.08015,101.4693,27
191,70.19025,144.9927,39
192,65.52149,110.9523,24
193,67.45905,132.8625,31
194,67.40985,146.3385,11
195,69.66158,145.5894,12
196,65.79799,120.8431,29
197,66.10558,115.7813,22
198,68.23987,128.3019,12
199,68.02403,127.4718,7
200,71.39044,127.8761,14
201,65.7316,121.4997,21
202,66.43358,112.7148,
203,70.01309,135.002,19
204,69.48146,128.6789,24
205,68.62764,124.4062,24
206,68.36275,140.026,6
207,68.39028,117.519,28
208,68.77413,143.8737,18
209,69.9236,141.1703,39
210,71.55542,155.9414,36
211,68.44764,134.0093,18
212,66.71398,130.0975,31
213,66.68413,106.2265,44
214,67.93699,112.0489,30
215,68.89855,136.1884,27
216,67.29191,131.236,8
217,69.57212,131.3231,24
218,67.67479,119.5261,25
219,69.04155,116.9965,33
220,67.96765,138.5255,18
221,65.83982,109.6518,21
222,65.77288,130.1569,16
223,71.14106,137.1114,7
224,67.83055,113.759,20
225,65.0693,114.9725,20
226,69.70745,127.7149,20
227,69.92983,121.9972,22
228,66.11569,117.9607,17
229,68.61364,127.7141,11
230,68.9976,117.9619,1
231,66.79171,125.1554,13
232,68.02363,141.1026,23
233,69.67258,145.4822,18
234,71.82178,116.065,27
235,72.74676,135.7458,15
236,67.27951,132.9248,5
237,67.41015,115.6622,7
238,68.5315,114.3184,34
239,68.47126,148.952,5
240,68.51867,142.1878,17
241,63.72529,134.104,
242,67.70483,141.8926,21
243,69.47115,138.7444,26
244,66.70198,134.449,29
245,65.23126,117.0167,7
246,69.89473,115.6752,26
247,69.83048,134.7905,28
248,65.3979,120.5746,20
249,68.32214,120.0835,33
250,65.93895,84.3598,21
251,70.09805,138.9394,50
252,66.05531,143.5245,27
253,68.23481,123.1347,19
254,65.21758,115.5261,29
255,69.16173,120.9844,11
256,67.60064,120.6473,14
257,67.28621,124.0352,41
258,66.84323,117.2238,9
259,68.08281,127.9598,37
260,66.56991,116.7527,27
261,70.16973,121.9957,22
262,67.85113,123.9952,9
263,66.62309,108.855,29
264,63.68816,104.6574,6
265,68.0356,132.248,23
266,66.941,127.1834,21
267,66.26292,125.1209,15
268,70.7301,133.322,32
269,70.70844,122.3364,33
270,73.26872,130.2636,29
271,63.79021,116.7431,23
272,67.84109,125.8534,30
273,67.78058,100.627,21
274,67.23901,118.4945,25
275,66.75701,137.1255,17
276,69.03098,118.6991,18
277,68.52652,124.1641,9
278,64.65419,124.9442,21
279,65.14295,126.3889,23
280,66.74124,121.5255,9
281,66.99923,133.2951,5
282,70.26611,127.4072,10
283,67.57666,125.08,14
284,66.30582,102.8114,33
285,68.90702,134.2212,9
286,65.60543,100.9758,23
287,68.00189,145.8886,15
288,69.93715,155.3046,21
289,70.1459,138.7175,36
290,66.66364,116.2611,27
291,69.40676,120.6087,12
292,66.80598,114.4083,29
293,67.70048,133.3406,25
294,69.13438,92.74955,14
295,67.53769,131.7825,3
296,65.77912,118.3865,31
297,66.25769,131.1466,26
298,67.39038,130.2033,18
299,64.94327,129.1836,45
300,69.25699,143.1445,27
301,69.07739,138.7307,36
302,69.64403,130.9528,16
303,69.07705,124.3032,35
304,68.01304,135.3702,24
305,68.85664,124.1988,41
306,63.19158,111.2389,7
307,65.57591,129.4037,18
308,69.12101,127.7444,20
309,69.78765,121.3311,23
310,67.48203,118.2183,7
311,69.08809,123.3441,19
312,68.5529,151.9118,
313,68.21327,115.3108,13
314,67.1012,122.3844,9
315,71.23661,129.2323,16
316,69.11946,138.2824,27
317,65.49848,144.0565,17
318,66.58706,120.8482,24
319,67.99831,113.3034,16
320,72.57747,149.3227,19
321,67.97585,130.6373,26
322,66.62347,122.387,0
323,67.29574,133.8677,7
324,65.95951,134.8336,1000
325,66.54011,137.8363,18
326,68.07723,112.6812,37
327,65.83291,121.1964,15
328,69.23721,114.9262,33
329,64.69413,110.3762,19
330,69.21372,126.0337,25
331,67.16792,118.7008,22
332,67.8467,119.3108,33
333,69.27389,150.7397,31
334,67.90547,121.1142,32
335,67.076,118.4065,26
336,70.01531,142.759,1000
337,70.05454,145.6305,23
338,70.86714,127.3425,27
339,66.0586,115.9678,9
340,65.23745,104.4441,21
341,68.7413,138.4905,-6
342,69.51946,145.5049,9
343,70.30764,124.4065,33
344,67.29982,124.1866,20
345,67.60582,126.1659,30
346,67.85566,138.8125,15
347,66.46536,121.5515,19
348,68.92071,114.2555,37
349,68.46886,129.4022,13
350,69.5193,137.5583,16
351,70.23956,134.4996,23
352,67.85651,127.7103,12
353,68.00435,115.6709,44
354,67.13983,131.5906,16
355,68.09931,127.5839,17
356,68.99077,125.7211,17
357,69.32618,119.9885,0
358,70.09286,140.8676,18
359,68.74304,136.9164,-3
360,64.18633,118.4759,21
361,66.09074,129.5516,14
362,69.24418,152.0714,14
363,69.66512,120.8646,0
364,68.42721,136.1027,11
365,68.28613,130.0611,22
366,69.37684,131.7743,21
367,68.35315,139.38,25
368,72.32489,168.229,12
369,70.37159,127.6446,11
370,65.72927,131.8008,22
371,66.49627,122.8561,13
372,70.81339,140.2133,27
373,67.37579,142.6929,17
374,67.79709,137.4299,31
375,68.1607,126.0392,14
376,68.85782,143.5985,28
377,67.71342,122.62,8
378,64.66007,108.6044,10
379,65.73721,100.6617,21
380,68.42441,116.1397,28
381,68.88946,140.5293,-1
382,68.27367,125.6907,9
383,69.18045,134.3329,24
384,72.60996,136.4649,31
385,66.04157,127.8822,21
386,69.2288,123.1361,9
387,68.87697,116.3375,29
388,66.46042,124.5581,22
389,69.30444,125.7853,19
390,67.58249,107.5905,38
391,69.41816,143.0236,23
392,67.46867,118.7434,24
393,66.44873,118.9856,15
394,68.76185,131.8744,22
395,63.76881,119.3691,26
396,69.03663,126.1223,18
397,66.48966,126.6122,23
398,66.74224,113.5597,29
399,67.69394,115.8413,14
400,66.69066,130.2738,26
401,67.02877,125.4542,16
402,65.91096,117.1655,17
403,70.0304,137.3184,28
404,69.26978,149.4447,31
405,70.07695,151.0695,16
406,64.90942,116.9994,40
407,69.68744,138.1787,18
408,67.56524,127.621,28
409,63.85529,120.7514,13
410,71.6189,144.2537,17
411,64.98993,105.7939,31
412,64.60759,120.1567,17
413,62.01666,109.0848,35
414,65.28516,125.971,3
415,67.70163,110.2325,15
416,70.85794,134.4706,11
417,68.17075,115.5067,27
418,67.45006,125.1086,17
419,71.04224,116.4113,32
420,67.83032,133.3944,35
421,67.15488,108.7478,41
422,68.30289,134.3986,21
423,65.41208,131.2085,25
424,68.66755,130.8318,18
425,70.06733,127.0838,24
426,69.13413,119.4067,14
427,67.02078,105.5616,38
428,65.52274,134.4733,34
429,70.19808,132.6897,30
430,67.66866,126.058,16
431,69.73257,126.3532,28
432,67.61719,142.3603,4
433,70.79589,124.5873,20
434,69.65804,122.3604,10
435,66.73277,123.2298,18
436,67.58008,131.4049,13
437,65.25317,124.3037,24
438,70.71387,128.3836,
439,71.27374,136.853,21
440,66.55913,118.0569,26
441,68.04247,121.4969,15
442,68.11699,119.2811,33
443,71.2367,126.5545,34
444,66.92387,129.2477,34
445,71.10381,134.7804,26
446,69.41466,146.0725,21
447,69.16807,162.4109,40
448,68.57725,130.1885,15
449,69.60315,132.1941,13
450,69.05087,127.4591,
451,68.28699,125.3466,26
452,69.25276,134.7559,21
453,68.23862,121.9395,25
454,67.6868,125.6688,21
455,68.84083,145.956,19
456,69.52061,119.9207,42
457,66.97668,111.5093,36
458,72.0053,138.676,17
459,67.44482,135.0151,19
460,66.06214,116.509,15
461,65.5747,123.9575,29
462,68.30171,136.952,1
463,71.02603,153.0797,28
464,70.76882,126.357,29
465,67.50812,145.0614,10
466,69.50936,135.1739,36
467,66.4455,108.806,-4
468,68.5689,110.5155,26
469,67.01296,138.2685,23
470,68.70004,119.5111,-3
471,68.23013,115.3214,14
472,70.40713,132.3684,26
473,65.69989,93.99438,18
474,65.7031,127.4051,26
475,68.48055,134.3024,10
476,66.62891,124.9721,20
477,66.84285,124.072,28
478,69.89734,133.5476,18
479,67.6543,134.1509,
480,68.30917,130.2489,42
481,69.74848,138.0935,
482,68.57906,126.6064,
483,68.14477,131.8076,17
484,67.98093,131.7363,12
485,64.82535,117.6261,29
486,69.20785,126.1943,9
487,69.2656,127.5132,21
488,70.9403,142.4785,27
489,69.07826,139.444,2
490,66.20183,110.3204,30
491,71.05779,131.9541,24
492,68.99493,129.2037,22
493,70.96089,124.3513,8
494,66.02496,126.5251,22
495,69.8641,149.2303,
496,66.82802,142.1577,22
497,69.09424,127.1436,29
498,66.81425,122.3353,29
499,67.13183,112.6659,13
500,64.57428,134.2647,19
501,68.68038,120.6936,19
502,67.53724,115.783,31
503,71.17732,128.6855,7
504,70.53514,134.7611,2
505,71.53411,118.3419,25
506,66.77301,106.1557,33
507,66.33636,126.3823,1000
508,64.83095,114.3716,0
509,68.38247,130.2787,9
510,68.05038,123.3066,29
511,69.09149,122.8571,31
512,69.91046,125.6932,-2
513,68.40737,111.7247,10
514,68.32559,125.5516,34
515,66.95555,119.9702,16
516,70.54816,132.6043,11
517,69.37805,132.6738,33
518,67.52012,117.4521,24
519,64.87142,101.8549,11
520,69.13396,128.4418,16
521,68.81192,134.0414,26
522,67.56446,127.7511,12
523,68.16772,127.6172,25
524,65.80687,139.3971,
525,64.92276,113.9381,8
526,68.35584,147.5188,33
527,66.71546,132.6523,13
528,69.18196,132.8139,24
529,65.88795,105.0942,26
530,66.03733,127.5187,18
531,69.44194,130.7305,19
532,67.14847,128.5815,31
533,65.69442,122.5699,35
534,69.42723,157.2961,23
535,66.54503,121.1097,1
536,69.04469,147.5061,31
537,67.62036,117.493,11
538,69.59105,132.4472,10
539,68.12343,118.1774,28
540,71.22641,123.7319,23
541,66.43285,130.365,15
542,66.31808,122.8882,20
543,68.02724,107.8693,21
544,68.2876,118.591,16
545,66.91609,125.6467,32
546,71.77546,148.6016,12
547,66.04535,150.279,
548,69.01455,127.0678,22
549,68.70744,128.7122,16
550,65.012,118.4233,31
551,66.05857,125.3879,20
552,71.16403,149.2676,13
553,67.55274,107.3484,25
554,68.83455,133.6992,29
555,68.11811,124.8508,5
556,67.90528,112.7028,19
557,67.64085,127.8407,20
558,69.78282,134.1615,12
559,67.99889,138.6031,23
560,69.41465,126.044,28
561,70.42989,129.5856,8
562,67.67519,134.1054,16
563,67.88036,106.1251,29
564,68.06905,127.0561,33
565,66.99435,121.9241,2
566,71.57689,150.7365,22
567,64.36564,116.0061,20
568,67.93011,125.4748,23
569,69.91863,131.6099,31
570,69.93864,129.0696,22
571,66.79766,129.1117,-2
572,70.11119,148.1624,17
573,68.94814,105.388,27
574,68.02886,110.5447,7
575,69.36148,118.6402,2
576,68.44886,122.8151,14
577,65.70282,124.887,12
578,69.55674,135.7695,17
579,65.84635,116.4563,25
580,68.79983,125.3617,16
581,69.03835,133.122,8
582,67.36352,138.3328,25
583,70.35788,124.4972,20
584,69.88828,136.7205,20
585,65.15319,115.0153,14
586,69.40907,132.6366,29
587,68.50874,143.1323,18
588,65.71552,134.7422,18
589,63.98308,122.6246,28
590,70.07685,153.5634,26
591,68.42542,126.289,31
592,68.23665,134.7206,21
593,67.82856,134.5987,14
594,66.31277,118.3945,20
595,69.75128,121.2997,24
596,65.70901,132.2844,22
597,66.88227,139.0617,18
598,67.2791,110.698,16
599,70.63357,154.1073,16
600,69.9377,124.1592,18
601,65.87671,134.5173,24
602,72.44694,138.2622,33
603,70.07052,149.0801,21
604,67.68486,127.0075,6
605,66.1151,117.8222,26
606,69.94355,148.9096,13
607,68.24317,128.2151,35
608,68.80144,129.6944,32
609,66.61818,125.5674,36
610,70.18701,128.7947,11
611,65.58971,124.187,
612,68.69566,151.4167,13
613,64.88639,106.9803,28
614,69.81993,145.6221,27
615,66.33962,121.5926,21
616,70.4434,130.9386,14
617,69.99163,135.6203,30
618,70.13617,123.9315,35
619,67.1793,131.9955,9
620,68.2034,117.484,18
621,67.76121,129.6577,11
622,64.79753,122.3706,15
623,66.47871,114.5867,10
624,66.98337,116.5401,30
625,65.69991,139.4307,25
626,66.82705,123.4822,22
627,66.35141,132.5492,15
628,70.13491,143.4013,8
629,70.11565,132.9429,15
630,64.56145,98.8972,3
631,68.15724,122.4342,19
632,67.1475,104.6767,16
633,70.88927,142.7847,21
634,68.16218,130.9283,11
635,71.19657,143.827,25
636,67.92444,142.2832,22
637,65.30204,107.9441,15
638,66.40756,105.6891,27
639,71.30647,125.4007,
640,69.05997,106.4195,19
641,65.95442,118.5371,10
642,69.63776,136.7836,35
643,71.10495,145.9328,15
644,66.21851,129.637,22
645,66.13469,108.4955,31
646,67.7851,121.2537,27
647,66.67737,135.7399,15
648,69.99408,137.5026,16
649,71.1441,124.0052,31
650,68.63927,128.8613,21
651,69.08548,133.6811,18
652,67.97389,106.5185,1
653,65.94809,113.0398,28
654,66.02102,125.9639,
655,71.23576,140.2945,31
656,67.52674,143.229,26
657,71.06935,145.8063,17
658,68.27178,128.1697,17
659,67.31932,134.1839,11
660,68.98848,140.2166,25
661,68.404,146.3453,30
662,67.092,132.0784,24
663,66.76866,122.13,15
664,65.64636,131.4693,34
665,65.34105,129.5167,27
666,68.18299,125.7451,6
667,70.65924,153.1384,24
668,65.94401,124.5559,14
669,69.62792,134.8225,7
670,68.29965,115.3877,28
671,70.06075,117.9618,32
672,68.43602,124.5647,2
673,69.27012,134.4043,16
674,67.70511,129.3092,0
675,70.89315,133.1423,10
676,70.54313,147.3609,19
677,71.58086,155.0132,35
678,68.42301,126.2905,13
679,69.35781,134.4605,15
680,70.445,134.0296,20
681,67.38153,128.9248,14
682,67.50767,123.0543,6
683,68.52054,112.1788,11
684,66.80858,111.7443,33
685,72.38532,148.4615,32
686,68.51642,136.7459,25
687,70.79791,133.2068,17
688,66.21905,116.8855,28
689,68.31167,124.8542,27
690,67.1715,121.5809,10
691,67.7714,123.197,10
692,67.47328,137.1255,18
693,67.77463,121.4941,21
694,69.20099,150.9398,25
695,70.04297,142.3009,16
696,70.56979,134.7527,36
697,66.45379,133.5585,
698,67.68132,136.0895,13
699,65.75638,95.20216,18
700,69.3549,119.7404,21
701,70.5902,152.9146,13
702,67.27626,140.1991,19
703,68.48853,145.2503,8
704,67.02188,119.4855,14
705,65.77613,123.512,32
706,65.96579,110.6754,15
707,68.18868,111.4951,18
708,72.08595,139.4849,20
709,66.85358,133.088,18
710,69.10929,133.5196,8
711,64.5909,112.7698,12
712,67.03849,124.7975,12
713,68.99156,123.4224,13
714,70.59872,142.0921,2
715,70.08988,116.2814,9
716,65.6844,131.1256,22
717,67.0982,131.2493,17
718,66.03932,127.2422,12
719,69.26423,122.4523,15
720,66.61351,115.2431,30
721,68.11738,126.9532,18
722,69.73059,143.4439,32
723,64.02042,125.377,20
724,66.23753,109.0095,33
725,72.46761,139.2411,16
726,66.21938,102.182,16
727,71.2978,144.3898,18
728,63.1255,83.08527,36
729,70.93034,145.3938,25
730,68.25489,134.9267,20
731,64.78014,134.678,12
732,65.42982,111.4963,14
733,68.91361,119.7951,26
734,64.96937,95.70426,21
735,66.15237,117.159,9
736,65.98386,127.2356,1
737,69.2435,144.9205,17
738,68.31982,122.8464,26
739,70.11607,134.19,22
740,68.63521,124.9776,31
741,67.74289,135.8441,27
742,64.58641,120.8222,14
743,64.66165,125.0174,34
744,65.90771,133.5474,11
745,65.77649,124.5583,20
746,67.1506,135.9691,15
747,72.24339,143.5738,11
748,68.73199,130.5725,14
749,67.57019,127.192,15
750,70.36234,141.2372,27
751,63.62233,107.4236,9
752,66.20711,122.3234,19
753,66.22114,111.6055,12
754,70.0722,137.8915,4
755,69.6563,142.8742,13
756,66.25043,114.4349,22
757,68.0704,128.2736,31
758,67.14808,134.5725,15
759,68.76609,140.1034,14
760,68.12075,121.977,12
761,65.72987,111.4248,9
762,69.17439,135.0756,31
763,70.36351,132.9826,19
764,70.78557,117.7566,34
765,70.88083,134.9877,5
766,66.62148,151.6121,-1
767,69.9829,128.9287,31
768,66.92866,120.1575,22
769,71.45806,125.6007,12
770,69.66344,127.8292,30
771,69.30943,136.1354,17
772,66.59775,116.2841,26
773,64.20209,127.0777,23
774,68.23051,125.7165,20
775,70.09021,121.0749,6
776,70.9755,122.7382,29
777,64.93134,119.4545,8
778,66.90106,132.9048,11
779,69.19803,132.8687,8
780,68.4149,124.3486,22
781,66.3163,132.2198,23
782,72.13467,142.804,
783,65.74613,129.605,0
784,69.96677,128.5326,21
785,65.11417,112.9919,12
786,67.43294,122.0795,18
787,66.39785,118.396,14
788,67.18769,130.1299,16
789,67.68597,111.6824,28
790,67.77469,142.2452,33
791,63.62937,122.6049,8
792,66.447,122.8198,-2
793,71.9233,119.1123,13
794,67.92214,139.4335,3
795,68.01143,141.3353,8
796,67.76524,119.787,11
797,69.19791,136.326,22
798,67.00109,118.4099,19
799,67.09659,137.692,0
800,69.85144,129.078,17
801,67.42782,123.4642,25
802,68.1104,115.4311,16
803,68.29433,129.931,19
804,69.45176,135.9563,21
805,69.08219,127.8134,19
806,70.91753,139.1014,25
807,64.20566,109.2132,25
808,71.10315,124.6154,14
809,72.08523,136.221,
810,66.15119,120.4722,17
811,67.52898,116.1659,10
812,67.17586,115.5093,-3
813,72.92955,141.9961,
814,65.54112,135.4869,19
815,69.08487,135.1305,14
816,65.28991,108.2494,24
817,68.53447,125.1277,-1
818,71.32802,142.8947,16
819,66.88095,128.2978,27
820,67.91196,128.268,15
821,67.00238,103.5665,27
822,68.27584,156.1069,33
823,66.20276,104.9661,17
824,64.24214,121.6365,27
825,67.43738,132.0066,34
826,64.50081,118.4079,22
827,68.89607,135.3898,22
828,70.32908,140.6633,23
829,64.31742,111.6703,22
830,67.11253,128.0328,
831,68.01206,130.4737,29
832,68.25267,128.2127,7
833,67.76873,142.8202,23
834,67.44291,123.0804,24
835,65.73581,117.8771,20
836,69.64372,130.9274,30
837,71.92818,129.1735,12
838,69.39435,144.5784,13
839,67.14717,115.8635,19
840,69.1469,116.5322,16
841,66.90594,141.9947,26
842,67.838,132.1304,12
843,68.09614,135.2607,17
844,66.14093,127.0684,11
845,71.16386,129.844,-2
846,67.55757,134.5066,38
847,70.01279,121.3609,23
848,72.56431,143.1486,16
849,66.60224,124.7741,12
850,68.51802,120.1546,15
851,66.34638,139.4163,6
852,69.02692,131.6743,14
853,69.12446,131.07,20
854,68.24578,129.8914,28
855,68.4869,123.344,2
856,70.68261,137.5314,21
857,70.35969,136.8886,26
858,67.62401,118.4024,28
859,69.4463,116.2441,26
860,67.92486,124.8433,39
861,68.39347,120.9809,8
862,66.31812,105.1208,24
863,71.22882,145.4377,22
864,65.29169,108.1912,16
865,66.00287,130.3778,36
866,67.61775,117.5157,7
867,69.10276,135.8762,14
868,68.99743,127.5126,9
869,69.07531,151.3998,24
870,68.34086,112.4799,7
871,71.68196,156.7554,36
872,68.77664,138.2098,35
873,66.18191,109.5685,22
874,72.37092,139.9742,16
875,66.85155,124.5873,30
876,65.75688,130.5023,11
877,69.69245,151.0783,20
878,66.27915,108.7722,13
879,66.47752,105.9927,21
880,68.71912,143.4301,0
881,68.29244,114.7434,31
882,67.66696,123.7736,21
883,71.29885,139.4769,10
884,67.07369,115.8201,33
885,70.68048,146.5682,16
886,71.40114,153.9993,2
887,71.00392,137.5899,24
888,66.2799,125.9287,13
889,68.05383,139.6939,24
890,64.16346,126.3585,3
891,66.87966,113.9307,17
892,70.52968,129.7605,18
893,65.45595,116.1925,8
894,69.11331,139.1294,21
895,67.94221,126.9815,18
896,67.2132,125.8352,35
897,67.6372,113.524,14
898,70.09365,123.2372,19
899,64.41354,123.0554,24
900,69.77698,128.133,10
901,66.58181,127.9357,6
902,68.14995,110.4678,20
903,66.18165,127.9364,0
904,66.79412,118.1678,34
905,67.1657,129.7243,37
906,68.01904,130.6094,23
907,66.95837,105.0414,22
908,68.70397,122.6299,12
909,69.68057,138.3259,23
910,66.52793,107.7381,30
911,66.46981,141.4417,18
912,71.44643,153.6966,18
913,66.62648,134.5551,29
914,64.01015,109.6593,1
915,65.03312,117.2029,19
916,66.77216,124.2843,19
917,68.91932,125.2193,13
918,71.22926,133.2256,23
919,71.10332,122.6042,20
920,69.80699,134.8652,17
921,67.09127,111.4506,30
922,67.27958,116.8458,26
923,71.86593,143.1527,22
924,67.20197,99.92383,37
925,68.44108,127.9232,23
926,67.20278,136.658,15
927,69.36588,145.3947,24
928,69.0416,126.6818,13
929,65.9056,128.1983,15
930,66.44766,122.8328,20
931,66.08009,133.2571,34
932,69.35367,116.7606,3
933,70.83359,144.0455,2
934,67.664,132.5153,10
935,65.30966,123.9832,12
936,66.66817,113.1423,24
937,66.93271,123.9512,35
938,67.73938,133.9787,17
939,64.27722,128.1519,18
940,66.83442,121.2878,21
941,65.89728,122.7107,32
942,67.6564,125.4136,9
943,68.68966,124.8761,-2
944,66.08003,116.5903,18
945,66.91344,129.889,28
946,69.48392,123.889,21
947,68.60001,137.6571,16
948,69.21225,130.8805,10
949,67.63342,141.9706,38
950,65.73405,125.7334,15
951,66.09947,104.4108,3
952,67.65293,117.0685,4
953,67.59619,131.7669,14
954,69.57859,125.4738,27
955,66.08879,129.5734,27
956,70.08026,130.1053,15
957,65.00956,131.9305,27
958,69.16464,142.4645,43
959,69.61276,127.6431,20
960,71.48367,153.3153,6
961,69.47413,126.7609,40
962,69.0027,114.0258,34
963,69.5581,133.9684,32
964,68.63746,127.5869,13
965,67.20262,126.4859,20
966,66.07614,120.7651,7
967,66.18342,126.6479,26
968,70.80778,133.0747,
969,67.158,125.9649,36
970,65.2973,121.3206,12
971,69.23494,129.7824,34
972,68.90768,130.0549,23
973,72.3478,123.4005,27
974,68.29557,137.2791,24
975,68.34735,127.7554,17
976,67.46476,133.6853,30
977,68.86803,113.9275,
978,66.62471,135.6168,31
979,64.77193,122.6005,26
980,67.70647,118.9472,19
981,72.992,134.2703,
982,70.95194,124.2747,26
983,67.95677,130.6981,18
984,67.20959,124.6797,20
985,66.36959,129.0839,44
986,67.63896,121.9456,28
987,69.74444,126.2689,8
988,68.17532,134.6122,11
989,66.89711,131.8476,4
990,67.4966,103.5828,21
991,66.51569,116.3925,19
992,66.88332,123.5095,36
993,69.7277,150.3395,15
994,69.78345,135.2437,17
995,65.40046,112.4584,25
996,67.99831,137.4861,17
997,72.25581,132.7902,18
998,70.79562,126.0286,28
999,65.18786,141.3591,28
1000,67.7123,135.9065,11
1001,70.05146,134.6655,35
1002,67.30497,122.0232,2
1003,66.39813,128.3502,14
1004,69.73637,130.6354,19
1005,68.71659,131.717,27
